"Date","RegionID","RegionName","State","Metro","County","SizeRank","Zhvi","MoM","QoQ","YoY","5Year","10Year","PeakMonth","PeakQuarter","PeakZHVI","PctFallFromPeak","LastTimeAtCurrZHVI"
2017-08-31,53304,"Middletown","OH","Cincinnati","Butler",876,88100,0.0103211009174312,0.0364705882352941,0.10125,0.0446926281915223,,"2017-08","2017-Q3",88100,0,"2017-08"
2017-08-31,52547,"Hollister","CA","San Jose","San Benito",877,509900,0.00571992110453649,0.0206164931945556,0.0879027096223597,0.135597034039101,,"2017-08","2017-Q3",509900,0,"2017-08"
2017-08-31,46523,"Middletown","CT","Hartford","Middlesex",878,209500,-0.00333016175071361,0.001434034416826,0.00479616306954436,0.00932447915269474,-0.0100641333904272,"2006-07","2006-Q3",234700,-0.107371112057946,"2005-02"
2017-08-31,25550,"Lenexa","KS","Kansas City","Johnson",879,254400,0.00275916436736303,0.00992457324335054,0.0595585172844648,0.0457629027837578,0.0199494809056695,"2017-08","2017-Q3",254400,0,"2017-08"
2017-08-31,26713,"Redford","MI","Detroit","Wayne",880,83400,0.0060313630880579,0.0072463768115942,0.0901960784313725,0.139030513978364,-0.0316177486547531,"2005-03","2005-Q1",130600,-0.361408882082695,"1997-09"
2017-08-31,54111,"Revere","MA","Boston","Suffolk",881,367600,0.00574555403556771,0.0132304299889746,0.0933967876264128,0.100531542430561,0.0196826090761095,"2017-08","2017-Q3",367600,0,"2017-08"
2017-08-31,17871,"East Hartford","CT","Hartford","Hartford",882,153800,0.00457217504898759,0.0192180251822399,0.0441276306856755,0.0160933246354733,-0.0229529888138448,"2007-09","2007-Q3",194200,-0.208032955715757,"2004-06"
2017-08-31,5201,"Homestead","FL","Miami-Fort Lauderdale","Miami-Dade",883,173200,0.0206246317030053,0.058679706601467,0.138724523339908,0.140138573738619,-0.0309972379971921,"2006-12","2006-Q4",239800,-0.277731442869058,"2005-04"
2017-08-31,12765,"Minot","ND","Minot","Ward",884,209500,-0.00142993326978074,0.00239234449760766,-0.0150446638457922,0.015178111689186,,"2016-01","2016-Q1",221400,-0.0537488708220416,"2014-12"
2017-08-31,30829,"Chantilly","VA","Washington","Loudoun",885,513300,0.000584795321637427,0.0021475985942991,0.0214925373134328,0.0292466041931305,0.000527535573860982,"2005-10","2005-Q4",588600,-0.127930682976555,"2004-12"
