"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-08-31,"Highwood","IL","Chicago","Lake",6381,2112,-0.00611764705882353,0,0.0267379679144385,1249
2017-08-31,"Upland","IN","Marion","Grant",6382,996,0.00911854103343465,0.0407523510971787,-0.00796812749003984,1232
2017-08-31,"Clyde","TX","Abilene","Callahan",6383,1198,0.00251046025104603,-0.00332778702163062,-0.0220408163265306,1463
2017-08-31,"Moseley","VA","Richmond","Chesterfield",6384,2077,0.00386660222329628,0.0302579365079365,0.0689655172413793,3167
2017-08-31,"Goldendale","WA",,"Klickitat",6385,1264,0,-0.00236779794790845,0.0301548492257539,3247
2017-08-31,"Sagle","ID","Sandpoint","Bonner",6386,1481,0.0178694158075601,0.095414201183432,0.0334961618981158,2594
2017-08-31,"Saint Leonard","MD","Washington","Calvert",6387,1754,0.00515759312320917,0.00114155251141553,0.00804597701149425,3057
2017-08-31,"Center Point","IA","Cedar Rapids","Linn",6388,1213,0.00413907284768212,-0.0130187144019528,-0.0879699248120301,1719
2017-08-31,"Eight Mile","AL","Mobile","Mobile",6389,946,0,0.0161117078410312,0.0653153153153153,1814
2017-08-31,"Oak Park","IN","Louisville/Jefferson County","Clark",6390,1121,-0.00355555555555556,-0.0140721196130167,0.0717017208413002,4142
2017-08-31,"Medina","TN",,"Gibson",6391,1131,0,-0.00176522506619594,-0.0374468085106383,2679
2017-08-31,"Van Alstyne","TX","Sherman","Grayson",6392,1401,-0.00213675213675214,0.0108225108225108,0.0316642120765832,2410
2017-08-31,"Town of Madison","ME",,"Somerset",6393,1015,0.0201005025125628,0.0844017094017094,0.0844017094017094,2248
2017-08-31,"Town of Hannibal","NY","Syracuse","Oswego",6394,1193,-0.00334168755221387,-0.0433039294306335,-0.0830130668716372,952
2017-08-31,"Forks","WA","Port Angeles","Clallam",6395,1252,0.00481540930979133,0.00643086816720257,0.0279146141215107,1418
2017-08-31,"Chamberlayne","VA","Richmond","Henrico",6396,1371,0.00734753857457752,0.00883002207505519,-0.0207142857142857,2397
2017-08-31,"Deer Park","OH","Cincinnati","Hamilton",6397,1192,0.000839630562552477,0.00590717299578059,0.00931414055884843,2175
2017-08-31,"Breckenridge Hills","MO","St. Louis","Saint Louis",6398,799,-0.00125,-0.00249687890137328,0.00376884422110553,1717
2017-08-31,"Anamosa","IA","Cedar Rapids","Jones",6399,1061,0.00283553875236295,0.00378429517502365,-0.0467205750224618,2530
2017-08-31,"Beckett","NJ","Philadelphia","Gloucester",6400,1817,0.00609080841638981,0.0202133632790567,0.0196408529741863,1707
2017-08-31,"Parkton","MD","Baltimore","Baltimore",6401,2153,0.0107981220657277,0.0360923965351299,0.00513538748832866,2872
2017-08-31,"Tolono","IL","Champaign-Urbana","Champaign",6402,1138,0.00797165633303809,0.0115555555555556,0.070555032925682,1489
2017-08-31,"Rock Hill","MO","St. Louis","Saint Louis",6403,1304,0.00230591852421214,0.0163678877630553,0.0349206349206349,2273
2017-08-31,"Pinnacle","NC","Winston-Salem","Stokes",6404,1087,0.0111627906976744,0.0283822138126774,-0.000919117647058823,1245
2017-08-31,"Manteo","NC","Kill Devil Hills","Dare",6405,1414,0.00212615166548547,0.00640569395017794,0.0136200716845878,1781
2017-08-31,"Leonard","MI","Detroit","Oakland",6406,1905,-0.00261780104712042,0,0.0236432025792585,1565
2017-08-31,"Forest City","IA",,"Winnebago",6407,937,-0.00106609808102345,0.00106837606837607,-0.0477642276422764,1932
2017-08-31,"Blooming Grove Township","PA","New York","Pike",6408,1336,0.00602409638554217,0.0229709035222052,0.0324574961360124,4092
2017-08-31,"Sabattus","ME","Lewiston","Androscoggin",6409,1282,0.0015625,0.0322061191626409,0.0818565400843882,1317
