"RegionType","RegionName","City","State","Metro","CBSATitle","SizeRank","MarketHealthIndex","SellForGain","PrevForeclosed","ForeclosureRatio","ZHVI","MoM","YoY","ForecastYoYPctChange","StockOfREOs","NegativeEquity","Delinquency","DaysOnMarket"
"City","Seattle","Seattle","WA","Seattle, WA","""Seattle-Tacoma-Bellevue, WA""",18,9.78311965811966,98.27,1.8901,0.5166,690200,0.378126817917394,14.252607184241,0.0589423355549117,,0.0563962387522835,0.00473470067886933,37
"City","Baltimore","Baltimore","MD","Baltimore, MD","""Baltimore-Columbia-Towson, MD""",19,1.3974358974359,82.21,12.0165,3.4898,123700,0.732899022801303,4.12457912457912,0.0173807599029911,,0.223436429412225,0.0692461924137496,105
"City","Denver","Denver","CO","Denver, CO","""Denver-Aurora-Lakewood, CO""",20,9.35149572649573,98.89,1.038,0.083,386700,0.311284046692607,8.68465430016863,0.0348771657615723,,0.0597004636731827,0.00281943782069466,48
"City","Washington","Washington","DC","Washington, DC","""Washington-Arlington-Alexandria, DC-VA-MD-WV""",21,5.00213675213675,97.93,1.8441,1.5138,544500,0.0183688464364438,4.41035474592522,0.0231147842056934,,0.0960487733081158,0.045304544508765,56
"City","Nashville","Nashville","TN","Nashville, TN","""Nashville-Davidson--Murfreesboro--Franklin, TN""",22,9.54166666666667,96.53,1.9917,1.3726,234500,0.55746140651801,13.23032351521,0.0429168443496801,,0.0695724353290184,0.00792606558948664,56
"City","Milwaukee","Milwaukee","WI","Milwaukee, WI","""Milwaukee-Waukesha-West Allis, WI""",23,2.94230769230769,80.62,4.3748,2.7826,108800,0.461680517082179,8.25870646766169,0.0365533088235295,,0.242027937036349,0.0557496546501527,74
"City","Tucson","Tucson","AZ","Tucson, AZ","""Tucson, AZ""",24,6.67948717948718,85.25,6.0721,1.3799,166600,0.421940928270042,8.32249674902471,0.0465906362545019,,0.143506060923195,0.0342907903995527,66
"City","Portland","Portland","OR","Portland, OR","""Portland-Vancouver-Hillsboro, OR-WA""",25,7.88354700854701,99.04,2.7232,1.2832,414800,-0.264486655446021,3.90781563126252,0.0309787849566057,,0.0369509502426822,0.0152183458899335,50
"City","Oklahoma City","Oklahoma City","OK","Oklahoma City, OK","""Oklahoma City, OK""",26,8.88888888888889,92.69,2.5963,0.1379,135500,1.04399701715138,5.03875968992248,0.0364870848708487,,0.0884625322210376,0.0348251561451208,70
"City","Omaha","Omaha","NE","Omaha, NE","""Omaha-Council Bluffs, NE-IA""",27,9.46581196581197,100,1.1038,0.0389,156500,0.192061459667093,8.8317107093185,0.0325175718849839,,0.0591048248009756,0.00794160376161505,57
"City","Albuquerque","Albuquerque","NM","Albuquerque, NM","""Albuquerque, NM""",28,0.447649572649573,75,,,185100,-1.12179487179487,6.99421965317919,0.0130470016207456,,0.121093361619476,0.0542196141954667,75
