"Date","RegionName","State","Metro","County","SizeRank","Zri","MoM","QoQ","YoY","ZriRecordCnt"
2017-08-31,"Clawson","MI","Detroit","Oakland",3556,1410,0.00786275911365261,0.0136592379583034,0.0337243401759531,4517
2017-08-31,"Pennsville Township","NJ","Philadelphia","Salem",3557,1195,0.00167644593461861,-0.00582362728785358,-0.0994724943481537,4685
2017-08-31,"Snyder","TX","Snyder","Scurry",3558,1033,-0.00193236714975845,0.00388726919339164,0.0466058763931104,4700
2017-08-31,"Northlake","IL","Chicago","Cook",3559,1602,0.0037593984962406,0.0132827324478178,0.0382372002592353,2982
2017-08-31,"Hasbrouck Heights","NJ","New York","Bergen",3560,2182,-0.00182982616651418,0.00506678949792722,-0.0874111250522794,3428
2017-08-31,"Molalla","OR","Portland","Clackamas",3561,1733,0.00990675990675991,0.0309339678762641,0.0364832535885167,5057
2017-08-31,"Arlington","TN","Memphis","Shelby",3562,1637,0.00614628149969268,0.0193026151930262,0.0347661188369153,3936
2017-08-31,"Sikeston","MO","Sikeston","Scott",3563,789,0.00509554140127389,0.0115384615384615,0.047808764940239,4025
2017-08-31,"Yeadon","PA","Philadelphia","Delaware",3564,1210,-0.00165016501650165,-0.00900900900900901,-0.0234059725585149,3400
2017-08-31,"Fulton","NY","Syracuse","Oswego",3565,1107,-0.000902527075812274,-0.016,-0.0798004987531172,2931
2017-08-31,"Pella","IA",,"Marion",3566,1302,0.0100853374709077,0.035799522673031,0.0672131147540984,4329
2017-08-31,"Blacklick","OH","Columbus","Franklin",3567,1779,0.00168918918918919,0.0130979498861048,-0.00614525139664804,3506
2017-08-31,"Vandalia","OH","Dayton","Montgomery",3568,1107,-0.0018034265103697,0.00819672131147541,-0.03487358326068,4751
2017-08-31,"Madisonville","TN",,"Monroe",3569,1110,0.00543478260869565,0.0146252285191956,0.0268270120259019,5422
2017-08-31,"Carmel","CA","Salinas","Monterey",3570,4619,-0.000216450216450216,-0.0117672229353872,0.0674832447423157,6878
2017-08-31,"Hayden","ID","Coeur d'Alene","Kootenai",3571,1451,0.00763888888888889,0.0247175141242938,0.0959214501510574,9845
2017-08-31,"Canal Fulton","OH","Canton","Stark",3572,1171,-0.0118143459915612,-0.0225375626043406,0.00428816466552316,4026
2017-08-31,"Fort Walton Beach","FL","Crestview-Fort Walton Beach-Destin","Okaloosa",3573,1201,0.0117944397641112,0.0152155536770921,0.0169348010160881,7274
2017-08-31,"Lake Station","IN","Chicago","Lake",3574,845,0.00237247924080664,-0.00118203309692671,0.0267314702308627,5825
2017-08-31,"Willow Spring","NC","Raleigh","Wake",3575,1339,0.000747384155455904,0.00676691729323308,0.03,5190
2017-08-31,"Harrison","MI",,"Clare",3576,785,-0.00254129606099111,-0.00254129606099111,-0.00883838383838384,10929
2017-08-31,"North Strabane Township","PA","Pittsburgh","Washington",3577,1690,-0.0134267367192061,-0.014002333722287,-0.0938337801608579,5513
2017-08-31,"Vernon","TX","Vernon","Wilbarger",3578,1056,0.00763358778625954,0.0212765957446809,0,4053
2017-08-31,"College Park","GA","Atlanta","Fulton",3579,1170,0.0103626943005181,0.0173913043478261,0.0753676470588235,2480
2017-08-31,"Cedar Lake","IN","Chicago","Lake",3580,1346,-0.00590841949778434,0.00522778192681105,0.0166163141993958,6727
2017-08-31,"Dingman Township","PA","New York","Pike",3581,1402,0.00357909806728704,0.00573888091822095,0.0346863468634686,6007
2017-08-31,"Kendallville","IN","Kendallville","Noble",3582,1022,0.00888450148075025,0.0365111561866126,0.0148957298907646,4730
2017-08-31,"Grandview","WA","Yakima","Yakima",3583,1031,-0.00865384615384615,0.00389483933787731,-0.0152817574021012,3176
2017-08-31,"Goffstown","NH","Manchester","Hillsborough",3584,1828,0.000547345374931582,0.00384404173531027,0.0615563298490128,4480
2017-08-31,"Dover Township","PA","York","York",3585,1251,-0.000798722044728434,-0.000798722044728434,0.00481927710843374,3044
2017-08-31,"Roxbury Township","NJ","New York","Morris",3586,2153,-0.0092038656235619,-0.0314889788573999,-0.0435362061306086,4047
2017-08-31,"Destrehan","LA","New Orleans","Saint Charles",3587,1483,-0.00268997982515131,0.00610583446404342,0.0377886634009797,3919
2017-08-31,"Lynnfield","MA","Boston","Essex",3588,2979,0.0112016293279022,0.0143003064351379,0.0412443201677735,3887
2017-08-31,"Fullerton","PA","Allentown","Lehigh",3589,1372,0,0.00439238653001464,0.0155440414507772,3877
2017-08-31,"Woodbury","NY","New York","Orange",3590,2299,0.0204172214824678,0.0483356133150935,0.0702979515828678,3211
2017-08-31,"Eatontown","NJ","New York","Monmouth",3591,2278,0.00529567519858782,0.0196956132497762,0.0463941203491043,3047
2017-08-31,"Camp Verde","AZ","Prescott","Yavapai",3592,1337,0.0105820105820106,0.030840400925212,0.0619539316918189,2820
2017-08-31,"Brownsville","FL","Miami-Fort Lauderdale","Miami-Dade",3593,1627,0.00246457178065311,-0.000614250614250614,0.00123076923076923,3108
2017-08-31,"Oxford","AL","Anniston","Calhoun",3594,828,0,-0.0036101083032491,-0.00240963855421687,8260
2017-08-31,"Paola","KS","Kansas City","Miami",3595,1233,-0.000810372771474879,-0.0112269446672013,-0.0214285714285714,4738
2017-08-31,"Milton Freewater","OR","Hermiston-Pendleton","Umatilla",3596,1193,-0.00250836120401338,0.0084530853761623,0.0613879003558719,3076
2017-08-31,"Town of Verona","WI","Madison","Dane",3597,1737,-0.00172413793103448,0.0140105078809107,0.0181711606096131,4337
2017-08-31,"Alachua","FL","Gainesville","Alachua",3598,1349,0.00148478099480327,0.00521609538002981,0.0465477114041893,4635
2017-08-31,"Globe","AZ","Payson","Gila",3599,1105,0.0072926162260711,0.015625,0.0327102803738318,5142
2017-08-31,"Delhi","CA","Merced","Merced",3600,1242,0.00566801619433198,0.0255986787778695,0.0790616854908775,2648
2017-08-31,"Robstown","TX","Corpus Christi","Nueces",3601,1021,0.00690335305719921,0.0261306532663317,-0.0916370106761566,3583
2017-08-31,"Craig","CO","Craig","Moffat",3602,1238,0.00896495517522412,0.011437908496732,-0.00642054574638844,3866
2017-08-31,"Conneaut","OH","Ashtabula","Ashtabula",3603,839,-0.00119047619047619,-0.00474495848161329,-0.0106132075471698,4364
2017-08-31,"Lower Burrell","PA","Pittsburgh","Westmoreland",3604,883,0.00455062571103527,-0.0349726775956284,-0.124007936507937,4237
2017-08-31,"Hudson","WI","Minneapolis-St Paul","Saint Croix",3605,1798,0.0101123595505618,0.0508474576271186,0.0936739659367397,8411
2017-08-31,"Town of Spencer","MA","Worcester","Worcester",3606,1596,0.0082122552116235,0.0350194552529183,0.0178571428571429,3196
2017-08-31,"Seven Hills","OH","Cleveland","Cuyahoga",3607,1448,0,0.00555555555555556,0.00485773768216516,5106
2017-08-31,"Keithville","LA","Shreveport","Caddo",3608,975,0.00411946446961895,0.00205549845837616,-0.0450538687561215,4336
2017-08-31,"Bloomfield","NM","Farmington","San Juan",3609,1018,0.00493583415597236,-0.0154738878143133,-0.0276981852913085,3589
2017-08-31,"Hockley","TX","Houston","Harris",3610,1485,-0.00268636668905306,-0.0106595602931379,-0.033203125,3681
2017-08-31,"Damascus","MD","Washington","Montgomery",3611,2117,0.00189304306672977,0.00953743443013829,-0.0102851799906498,4052
2017-08-31,"South Amboy","NJ","New York","Middlesex",3612,2011,-0.00148957298907646,0.00802005012531328,0.0182278481012658,4662
2017-08-31,"Jericho","NY","New York","Nassau",3613,4156,0.00338000965717045,0.023393252893376,0.0786400207630418,3412
2017-08-31,"Grants","NM","Grants","Cibola",3614,921,-0.00108459869848156,-0.0181236673773987,-0.0696969696969697,3335
2017-08-31,"Rayne","LA","Lafayette","Acadia",3615,1117,-0.000894454382826476,-0.00445632798573975,-0.0621326616288833,3746
2017-08-31,"Sunland Park","NM","Las Cruces","Dona Ana",3616,874,0.0011454753722795,-0.0179775280898876,-0.00342075256556442,1656
2017-08-31,"Delta Township","MI","Lansing","Eaton",3617,1285,0.00390625,0.0304731355252606,0.108714408973253,5564
2017-08-31,"Lyons","GA","Vidalia","Toombs",3618,936,0.00214132762312634,0.00753498385360603,0.0196078431372549,2206
2017-08-31,"Lamont","CA","Bakersfield","Kern",3619,989,-0.00201816347124117,0.00918367346938776,0.0432489451476793,2256
