"RegionName","State","Metro","CountyName","SizeRank","2011-02","2011-03","2011-04","2011-05","2011-06","2011-07","2011-08","2011-09","2011-10","2011-11","2011-12","2012-01","2012-02","2012-03","2012-04","2012-05","2012-06","2012-07","2012-08","2012-09","2012-10","2012-11","2012-12","2013-01","2013-02","2013-03","2013-04","2013-05","2013-06","2013-07","2013-08","2013-09","2013-10","2013-11","2013-12","2014-01","2014-02","2014-03","2014-04","2014-05","2014-06","2014-07","2014-08","2014-09","2014-10","2014-11","2014-12","2015-01","2015-02","2015-03","2015-04","2015-05","2015-06","2015-07","2015-08","2015-09","2015-10","2015-11","2015-12","2016-01","2016-02","2016-03","2016-04","2016-05","2016-06","2016-07","2016-08","2016-09","2016-10","2016-11","2016-12","2017-01","2017-02","2017-03","2017-04","2017-05","2017-06","2017-07","2017-08"
"Missoula","MT","Missoula","Missoula",350,,,,,,,,,,,,,,,,,,,,,,,,0.958333333333333,0.923926767676768,0.866666666666667,0.991666666666667,0.978174603174603,0.994444444444444,0.903086080586081,0.875,0.925966785290629,0.911552346570397,0.961309523809524,0.991666666666667,0.978260869565217,0.984665052461663,0.998214285714286,1.00793650793651,1.03416666666667,0.978142076502732,0.973603142324545,1.01273885350318,0.974489795918367,0.995833333333333,1.00245653817082,1.02105263157895,1.04605263157895,0.979180381830151,0.984396018294323,1.02985739750446,1.03030303030303,1.02721088435374,1.04166666666667,1.06854395604396,1.07236842105263,1.1427451213944,1.16666666666667,1.15667328721695,1.14255014326648,1.12566137566138,1.13571428571429,1.15384615384615,1.05665584415584,1.08313817330211,1.02272727272727,1.08313817330211,1.09821428571429,1.09868421052632,1.08388312912347,1.04382657869934,1.06762578616352,1.06632623978719,1.09142857142857,1.10714285714286,1.10119047619048,1.10108303249097,1.09333333333333,1.09516019855596
"Fountain Valley","CA","Los Angeles-Long Beach-Anaheim","Orange",351,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.93421052631579,2.00158227848101,2.03691983122363,2.05338541666667,2.02138677328378,2.02375890031646,2.05843293492696,2.03196202531646,2.04375,2.09299355984899,2.08157894736842,2.05168776371308,2.05493449312715,2.03688446969697,2.00526315789474,2.0530303030303,2.10081480818834,2.10386832806398,2.16082474226804,2.10635328103394,2.15494791666667,2.16176748095794,2.09498440347139,2.13541666666667,2.14742268041237,2.09232836097471,2.14163727618014,2.12799076460481,2.13020833333333,2.12867607162235,2.18117139708955,2.14144652061856,2.171875,2.22577319587629,2.22384557560137
"West New York","NJ","New York","Hudson",352,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2.08333333333333,2.29166666666667,2.1474358974359,2.3018899204244,2.34375,2.60427263479145,2.33030303030303,2.3,2.67636684303351,2.56681681383997,2.56877022653722,2.64967637540453,2.69788478847885,2.64029873012749,2.64002176396628,2.65270506108202
"Peabody","MA","Boston","Essex",353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.77625960717336,1.77837634923703,1.77329874958424,2.05588235294118,1.97834607846905,2.03271441202476,2.03006189213086,1.94759026451473,1.98713824905729,2.06018518518519,2.01113955127297,2.00366972477064
"Euless","TX","Dallas-Fort Worth","Tarrant",354,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.959810626834855,1.00527009222661,1.06820176629205,1.15146147032772,1.1711972238288,1.24635052800816,1.20077360212378,1.21710526315789,1.2231520223152,1.20657773872759,1.2510460251046,1.23128416760834,1.2108843537415,1.28729281767956,1.28843500221302,1.30975595777278,1.33824432166974,1.43734335839599,1.37569218653316,1.40723229253982,1.38827433628319
"Petersburg","VA","Richmond","Petersburg City",355,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.955772468812369,0.955772468812369,0.988142520909511,0.928994082840237,1.0487012987013,0.962613562688245,0.879273504273504,0.877926421404682,0.892857142857143,0.919669040636783,0.920506912442396,0.993189557321226,1.00108225108225,0.972972972972973,1.00152271865488,1.03899480069324,1.07264472190692,0.888888888888889,0.929903666140897,0.935585428436382,1,0.992392223161454,0.906923950056754,1.02705627705628,1.03745743473326,1.01697813231909,1.05519480519481,0.962935507783543,1,1.06493506493506
"Troy","NY","Albany","Rensselaer",356,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.19287374128583,1.19287374128583,1.10898268398268,1.11851851851852,1.16700744121348,1.19287374128583,1.16916414337019,1.13333333333333,1.10984848484848,1.08636363636364,1.03231597845601,0.955929951690821,0.986111111111111,1.06923076923077,1.04096949646742,1.02889396984676,0.971111111111111,1.01530612244898,0.991434689507495,1.02889396984676,1.05346985210466,1.03788749774273,1.03118040089087,1.05,1.01530612244898,1.0038084874864,1.0038084874864,0.964285714285714,1.06634885901844,1.05730123997082,1.16260162601626,1.04312354312354,1.07407407407407,1.05243328100471,1.07050413412954,1.02360034077817,0.993028846153846,0.99375
"Apple Valley","MN","Minneapolis-St Paul","Dakota",357,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.3902521691974,1.54556962025316,1.48251748251748,1.43704379562044,1.46582278481013,1.32867132867133,1.34468085106383,1.46551724137931,1.40348837209302,1.51003276757115,1.42335766423358,1.43020901929221,1.44713375796178
"Hoboken","NJ","New York","Hudson",358,,,,,,,,,,,,,,,,,,,,,,,,2.92619047619048,2.85171198388721,2.96399264559477,2.99055613850997,2.9047619047619,2.8996282527881,2.83315844700944,3.00817757009346,2.91666666666667,2.90161290322581,2.90980861244019,2.90909090909091,2.9099317439905,2.86368843069874,2.86697247706422,2.875,3.03550973654066,3.12160964972059,3.07,3.13765182186235,3.125,3.04347826086957,3,3.00428921568627,3.05497820985585,3.1503824705848,3,3,2.97317216981132,3,3.07692307692308,2.99553571428571,3.05718954248366,3.02843016069221,3.02644628099174,3.16353887399464,3.1534301035503,3.095,3.11909262759924,3.10984719864177,3.05454545454545,3.07142857142857,2.96103896103896,3.07130147432639,2.95,2.93541666666667,3,2.95727272727273,3.05555555555556,3,3.04386750223814,3.04166666666667,3.06884197056942,3.125,3.121875,3.125
"Owings Mills","MD","Baltimore","Baltimore",359,,,,,,,,,,,,,,,,,,,,,,,,,,1.20416666666667,1.20833333333333,1.27594086021505,1.24423963133641,1.14189704044622,1.16970241988228,1.19805481874447,1.20240111179438,1.2019360122997,1.19858493149613,1.22183348184089,1.24953910481802,1.29166666666667,1.30196078431373,1.32105674128058,1.31730769230769,1.26515359800579,1.31520694752402,1.28155339805825,1.23536043024098,1.26023034783183,1.23105790770444,1.22479000884173,1.225,1.25726993003914,1.27872101928998,1.27593659942363,1.28728476191321,1.28728476191321,1.28457461172277,1.26064210839234,1.24715615305067,1.26775956284153,1.27391304347826,1.30054457490824,1.29973474801061,1.32954545454545,1.26829268292683,1.31050228310502,1.29279279279279,1.31963190316049,1.26436781609195,1.26854754440961,1.30745098039216,1.32954545454545,1.26725663716814,1.36142214277089,1.41872561768531,1.41084337349398,1.41248839655919,1.44204220149598,1.47272727272727,1.47272727272727,1.46080586080586
